Area,Primary Substation Name,GSP Parent,BSP Parent,Break Fault Level vs Rating (kA),Location Latitude,Location Longitude,Location Grid Ref,Nameplate Rating (MVA),Sum of quoted generation (MVA),Minimum Load (MW),Maximum Load (MW),Contracted Generation (MVA),Available Headroom Capacity (MVA),Reverse Powerflow Capability (%),Upstream status,Transmission Works,Transmission reinforcement date,Downstream status,Distribution Works,Distribution reinforcement date,SoW needed?,Part of SWAN?,Other constraints,Voltage (kV),Site Classification
ENGLAND,ARNCOTT,COWLEY,HEADINGTON,9.24/13.1,51.858146,-1.1195824,SP 60730 18095,15,0,1.95008564,13.826099411,12.2,1,50,Constrained,,,Unconstrained,,,Yes,No,Voltage & thermal upstream limitations.,33/11,Red
ENGLAND,ASCOT,FLEET BRAMLEY,BRACKNELL MAIN,7.91/25.0,51.411326,-0.68409816,SU 91615 68855,30,0,5.2309174538,2.7494712811,0,34,50,Unconstrained,,,Unconstrained,,,Yes,Yes,BSP 33kV CBs close to fault rating,33/11,Red
ENGLAND,ASHLING ROAD,LOVEDEAN,CHICHESTER & HUNSTON,10.93/13.1,50.854047,-0.80681949,SU 84085 06737,26,0,5.453728199,23.5504733891,1.9,9,50,Constrained,,,Unconstrained,,,Yes,Yes,"There is no reverse power capacity at the BSB and new generations will requier new BSP Transformer, AVC reinfocement, 33kV switchgear reinforcement at Chichester BSP",33/11,Amber
ENGLAND,ASHTON PARK,MELKSHAM,NORRINGTON,9.58/13.1,51.318628,-2.1859029,ST 87141 57741,23.5,0,3.6444571018,21.0681357812,4.175,8,50,Constrained,,,Unconstrained,,,Yes,No,None known,33/11,Green
ENGLAND,AVON RUBBER,MELKSHAM,NORRINGTON,8.98/13.1,51.377185,-2.1388135,ST 90435 64246,7.5,0,0.4604716003,8.4464566312,0.14,5,50,Constrained,,,Unconstrained,,,Yes,No,None known,33/11,Green
ENGLAND,BAGSHOT,FLEET BRAMLEY,BRACKNELL RESERVE,6.88/20.0,51.363474,-0.69255137,SU 91122 63523,24,0,3.5604376793,14.6387623617,0,28,50,Unconstrained,,,Unconstrained,,,Yes,Yes,BSP 33kV CBs close to fault rating,33/11,Red
ENGLAND,BALL HILL,BRAMLEY (ANDO-THAT),THATCHAM,5.88/13.1,51.365765,-1.392107,SU 42417 63142,15,0,1.1288310289,7.1687759227,0,16,50,Constrained,,,Unconstrained,,,Yes,No,None known,33/11,Red
ENGLAND,BARTON STACEY,MELKSHAM,ANDOVER,4.67/7.9,51.182169,-1.399417,SU 42075 42720,6,0,1.4790908694,6.4159248755,0,0,50,Constrained,,,Unconstrained,,,Yes,No,"Thermal constraint on upstream 132kV system with no remaining headroom. NG reinf works required for Melksham SGT capacity constraints, estimated connection date for new applications is 2025-2027.",33/11,Red
ENGLAND,BASINGSTOKE,BRAMLEY (BASI),BASINGSTOKE T1A & T2A,11.15/13.1,51.269782,-1.0674396,SU 65155 52705,30,0,3.97,17.5525683049,12.75,18,50,Constrained,,,Unconstrained,,,Yes,No,None known,33/11,Red
ENGLAND,BASSETT,NURSLING,VELMORE,11.06/13.1,50.941526,-1.4008417,SU 42193 15958,30,0,2.4419677258,16.7924458518,0.231,33,50,Constrained,,,Constrained,,,Yes,Yes,None known,33/11,Green
ENGLAND,BATH ROAD EAST,NORTH HYDE,NORTH HYDE (D),5.43/13.1,51.48041,-0.43035272,TQ 09097 76885,13,0,2.2652158737,12.2233568405,0,15,50,Unconstrained,,,Unconstrained,,,No,No,None known,22/11,Green
ENGLAND,BATH ROAD WEST,IVER 132KV,LONGFORD,13.57/13.1,51.480449,-0.47763041,TQ 05814 76820,25.1,0,6.2270178795,16.53,0,18.8,50,Unconstrained,,,Constrained,,,No,No,Proximity to fault level,33/11,Red
ENGLAND,BEACONSFIELD (END B/B),IVER 132KV,UPTON,3.39/25.0,51.61202,-0.64865318,SU 93668 91219,6.5,0,1,4.9,0,4.25,50,Unconstrained,,,Partially Constrained,,,No,No,Moderate proximity to Primary transformers limitations under FCO.,22/6.6,Red
ENGLAND,BEACONSFIELD (MIDDLE B/B),IVER 132KV,DENHAM,9.17/25.0,51.61202,-0.64865318,SU 93668 91219,12.9,0,3.17,11.67,0,9.6,50,Unconstrained,,,Unconstrained,,,No,No,None known,22/6.6,Green
ENGLAND,BEENHAM,BRAMLEY (ANDO-THAT),THATCHAM,6.52/13.1,51.417262,-1.1644013,SU 58204 69025,13,0,1.3292909861,6.8129170617,1.9,7.5,50,Constrained,,,Unconstrained,,,Yes,No,Fault level reinforcement required at Thatcham 33kV. Approaching 100% loading on 132kV circuits from Bramley to Thatcham on import,33/11,Red
ENGLAND,BEMERTON,MANNINGTON GSP,SALISBURY,8.42/20.0,51.080303,-1.8360247,SU 11583 31233,30,0,3.7555303574,15.0276830826,0,0,50,Constrained,,,Unconstrained,Bemerton-C switchgear reinforcement,01/06/21,Yes,Yes,Constrained due to upstream thermal limitations.,33/11,Green
ENGLAND,BERINSFIELD,COWLEY,Cowley Local (2 x 45),7.76/20.0,51.654969,-1.1574654,SU 58382 95467,24,0,0.8413363099,12.9944655951,19.82,19,50,Constrained,ANM scheme triggered upstream by accepted generation,,Unconstrained,,,Yes,No,ANM installed to avoid upstream 33kV thermal issues under FCO.,33/11,Red
ENGLAND,BEVOIS VALLEY,NURSLING,Southampton (2 x 60),8.3/25.0,50.916577,-1.3946894,SU 42648 13187,22.9,0,3.182446003,14.5217984508,1.175,24,50,Constrained,,,Constrained,,,Yes,Yes,None known,33/6.6,Green
ENGLAND,BICESTER,EAST CLAYDON,BICESTER NORTH,11.86/16.0,51.893394,-1.1530295,SP 58381 21988,60,0,4.5934719391,24.4978088016,33.511,2,50,Constrained,,,Constrained,,,No,No,Constrained due to upstream thermal limitations.,33/11,Red
ENGLAND,BILLINGSHURST,LOVEDEAN,CHICHESTER & HUNSTON,2.91/20.0,51.026012,-0.45704322,TQ 08305 26315,10,0,1.5607397556,9.5240208615,0,9,50,Constrained,,,Unconstrained,,,Yes,Yes,"There is no reverse power capacity at the BSB and new generations will requier new BSP Transformer, AVC reinfocement, 33kV switchgear reinforcement at Chichester BSP",33/11,Amber
ENGLAND,BILSHAM,LOVEDEAN,CHICHESTER & HUNSTON,10.88/13.1,50.805731,-0.61956242,SU 97366 01594,30,0,3.5817759037,17.4717646413,42.172,0,50,Constrained,,,Unconstrained,,,Yes,Yes,"There is no reverse power capacity at the BSB and new generations will requier new BSP Transformer, AVC reinfocement, 33kV switchgear reinforcement at Chichester BSP",33/11,Amber
ENGLAND,BINSTEAD ,FAWLEY,COWES & WOOTTON COMMON,8.06/13.1,50.719488,-1.2022961,SZ 56409 91399,15,0,1.2017911682,5.9003726365,0,0,50,Constrained,,,Constrained,,,No,Yes,"Highly meshed GSP with several 132kV constraints for combined SSEN & NG SGT outages.
A 3rd SGT has been triggered by SSEN (ModApp). 
ANM scheme in place on IOW to ease some of the 132kV constraints. Highly meshed GSP with several 132kV constraints for combined SSEN & NG SGT outages.
A 3rd SGT has been triggered by SSEN (ModApp). 
ANM scheme in place on IOW to ease some of the 132kV constraints. Highly meshed GSP with several 132kV constraints for combined SSEN & NG SGT outages.
A 3rd SGT has been triggered by SSEN (ModApp). 
ANM scheme in place on IOW to ease some of the 132kV constraints. Highly meshed GSP with several 132kV constraints for combined SSEN & NG SGT outages.
A 3rd SGT has been triggered by SSEN (ModApp). 
ANM scheme in place on IOW to ease some of the 132kV constraints. Highly meshed GSP with several 132kV constraints for combined SSEN & NG SGT outages.
A 3rd SGT has been triggered by SSEN (ModApp). 
ANM scheme in place on IOW to ease some of the 132kV constraints. Highly meshed GSP with several 132kV constraints for combined SSEN & NG SGT outages.
A 3rd SGT has been triggered by SSEN (ModApp). 
ANM scheme in place on IOW to ease some of the 132kV constraints. Highly meshed GSP with several 132kV constraints for combined SSEN & NG SGT outages.
A 3rd SGT has been triggered by SSEN (ModApp). 
ANM scheme in place on IOW to ease some of the 132kV constraints. Highly meshed GSP with several 132kV constraints for combined SSEN & NG SGT outages.
A 3rd SGT has been triggered by SSEN (ModApp). 
ANM scheme in place on IOW to ease some of the 132kV constraints. Highly meshed GSP with several 132kV constraints for combined SSEN & NG SGT outages.
A 3rd SGT has been triggered by SSEN (ModApp). 
ANM scheme in place on IOW to ease some of the 132kV constraints. Highly meshed GSP with several 132kV constraints for combined SSEN & NG SGT outages.
A 3rd SGT has been triggered by SSEN (ModApp). 
ANM scheme in place on IOW to ease some of the 132kV constraints. Highly meshed GSP with several 132kV constraints for combined SSEN & NG SGT outages.
A 3rd SGT has been triggered by SSEN (ModApp). 
ANM scheme in place on IOW to ease some of the 132kV constraints. Highly meshed GSP with several 132kV constraints for combined SSEN & NG SGT outages.
A 3rd SGT has been triggered by SSEN (ModApp). 
ANM scheme in place on IOW to ease some of the 132kV constraints. Highly meshed GSP with several 132kV constraints for combined SSEN & NG SGT outages.
A 3rd SGT has been triggered by SSEN (ModApp). 
ANM scheme in place on IOW to ease some of the 132kV constraints. Highly meshed GSP with several 132kV constraints for combined SSEN & NG SGT outages.
A 3rd SGT has been triggered by SSEN (ModApp). 
ANM scheme in place on IOW to ease some of the 132kV constraints. Highly meshed GSP with several 132kV constraints for combined SSEN & NG SGT outages.
A 3rd SGT has been triggered by SSEN (ModApp). 
ANM scheme in place on IOW to ease some of the 132kV constraints. Highly meshed GSP with several 132kV constraints for combined SSEN & NG SGT outages.
A 3rd SGT has been triggered by SSEN (ModApp). 
ANM scheme in place on IOW to ease some of the 132kV constraints. Highly meshed GSP with several 132kV constraints for combined SSEN & NG SGT outages.
A 3rd SGT has been triggered by SSEN (ModApp). 
ANM scheme in place on IOW to ease some of the 132kV constraints. Highly meshed GSP with several 132kV constraints for combined SSEN & NG SGT outages.
A 3rd SGT has been triggered by SSEN (ModApp). 
ANM scheme in place on IOW to ease some of the 132kV constraints. Highly meshed GSP with several 132kV constraints for combined SSEN & NG SGT outages.
A 3rd SGT has been triggered by SSEN (ModApp). 
ANM scheme in place on IOW to ease some of the 132kV constraints. Highly meshed GSP with several 132kV constraints for combined SSEN & NG SGT outages.
A 3rd SGT has been triggered by SSEN (ModApp). 
ANM scheme in place on IOW to ease some of the 132kV constraints. Highly meshed GSP with several 132kV constraints for combined SSEN & NG SGT outages.
A 3rd SGT has been triggered by SSEN (ModApp). 
ANM scheme in place on IOW to ease some of the 132kV constraints. Highly meshed GSP with several 132kV constraints for combined SSEN & NG SGT outages.
A 3rd SGT has been triggered by SSEN (ModApp). 
ANM scheme in place on IOW to ease some of the 132kV constraints. Highly meshed GSP with several 132kV constraints for combined SSEN & NG SGT outages.
A 3rd SGT has been triggered by SSEN (ModApp). 
ANM scheme in place on IOW to ease some of the 132kV constraints. Highly meshed GSP with several 132kV constraints for combined SSEN & NG SGT outages.
A 3rd SGT has been triggered by SSEN (ModApp). 
ANM scheme in place on IOW to ease some of the 132kV constraints. Highly meshed GSP with several 132kV constraints for combined SSEN & NG SGT outages.
A 3rd SGT has been triggered by SSEN (ModApp). 
ANM scheme in place on IOW to ease some of the 132kV constraints. ",33/11,Red
ENGLAND,BIRDHAM,LOVEDEAN,CHICHESTER & HUNSTON,7.46/13.1,50.788584,-0.83856291,SZ 81965 99422,10,0,2.6652333736,11.8424419831,0,9,50,Constrained,,,Unconstrained,,,Yes,Yes,"There is no reverse power capacity at the BSB and new generations will requier new BSP Transformer, AVC reinfocement, 33kV switchgear reinforcement at Chichester BSP",33/11,Amber
ENGLAND,BISHOPS WALTHAM,BOTLEY WOOD GSP,NETLEY COMMON,7.42/20.0,50.946805,-1.1943989,SU 56691 16683,24,0,3.2655478997,16.8712258469,7.5,19,50,Partially Constrained,,,Unconstrained,,,Yes,Yes,33kV upstream restriction on Netley Common to Bishops Waltham 33kV circts,33/11,Amber
ENGLAND,BISHOPSTOKE,NURSLING,VELMORE,8.78/13.1,50.963804,-1.3397511,SU 46463 18472,13,0,1.3081970215,5.5201560455,7.6,14,50,Constrained,,,Constrained,,,Yes,Yes,None known,33/11,Green
ENGLAND,BITTERNE,BOTLEY WOOD GSP,NETLEY COMMON,8.24/25.0,50.915445,-1.3595965,SU 45116 13082,13,0,2.3445842266,10.4926124588,0,14,50,Partially Constrained,,,Unconstrained,,,Yes,Yes,Proximity to voltage issues.,33/6.6,Amber
ENGLAND,BLACK BOURTON,MINETY,Stratton (2 x 60),5.65/25.0,51.732363,-1.5909089,SP 28349 03818,10,0,1.0821535587,6.1407539527,0,0,50,Constrained,,,Unconstrained,,,Yes,Yes,Thermal constraint on Minety - Galileo 132kV cct,33/11,Red
ENGLAND,BLANDFORD,MANNINGTON GSP,LYTCHETT,6.22/20.0,50.849233,-2.1603205,ST 88810 05536,30.7,0,3.975009203,16.2386733827,0,0,50,Constrained,,,Unconstrained,,,Yes,Yes,BSP Transformer rating under N-1,33/11,Green
ENGLAND,BLEDINGTON,COWLEY,WITNEY & YARNTON,3.03/25.0,51.901178,-1.6287369,SP 25641 22580,5,0,1.2498111709,4.7713573908,0.188,3,50,Constrained,,,Partially Constrained,,,Yes,No,Moderate proximity to Primary transformers limitations under FCO.,33/11,Red
ENGLAND,BORDON,FLEET BRAMLEY,ALTON & FERNHURST,9.13/13.1,51.110823,-0.82634825,SU 82256 35269,26,0,4.09,23.7986529308,0,5,50,Constrained,,,Unconstrained,,,Yes,Yes,Fleet GSP 132kV switchgear saturated for fault level capacity. 132kV reinforcement required at Fleet GSP,33/11,Red
ENGLAND,BOSCOMBE DOWN,BRAMLEY (ANDO-THAT),AMESBURY,10.09/13.1,51.168384,-1.7555755,SU 17186 41044,30,0,5.9565342665,20.6854764721,14,22,50,Constrained,,,Unconstrained,,,Yes,No,Connections might not be possible prior to Andover-Amesbury reconfiguration scheme. Upstream 132kV capacity for export is circa 15MVA flexible,33/11,Red
ENGLAND,BOSCOMBE EAST,MANNINGTON GSP,CHRISTCHURCH,10.11/13.1,50.731525,-1.8364924,SZ 11636 92447,26.5,0,3.5592000484,12.8398785372,0,0,50,Constrained,,,Unconstrained,,,Yes,Yes,None known,33/11,Green
ENGLAND,BOURNE VALLEY,MANNINGTON GSP,BOURNEMOUTH,8.96/13.1,50.73132,-1.9134172,SZ 06207 92415,30,0,5.4246134758,24.5350138379,0,35,50,Unconstrained,,,Unconstrained,,,Yes,Yes,None known,33/11,Green
ENGLAND,BOURTON,MANNINGTON GSP,SHAFTESBURY,6.61/20.0,51.071236,-2.3244667,ST 77363 30262,13,0,1.5,8.8405812792,1.5,0,50,Constrained,,,Unconstrained,,,Yes,Yes,None known,33/11,Green
ENGLAND,BOVINGTON,MANNINGTON GSP,WAREHAM,6.97/13.1,50.689904,-2.2288178,SY 83933 87831,9.8,0,1.36,5.432048,5,0,50,Constrained,,,Constrained,,,Yes,Yes,BSP Transformer rating under N-1,33/11,Red
ENGLAND,BOWERDEAN,AMERSHAM,LOUDWATER,10.27/13.1,51.636897,-0.73389355,SU 87718 93880,20,0,4.508919239,22.2,0,24.508919239,50,Unconstrained,,,Unconstrained,,,No,No,None known,33/11,Green
ENGLAND,BRACKNELL,FLEET BRAMLEY,BRACKNELL MAIN,13.82/20.0,51.417065,-0.76360335,SU 86075 69397,76,0,12.0437774658,44.6215611927,0,85,50,Unconstrained,,,Unconstrained,,,Yes,Yes,BSP 33kV CBs close to fault rating,33/11,Red
ENGLAND,BRADFORD-ON-AVON,MELKSHAM,NORRINGTON,8.06/25.0,51.343847,-2.2704395,ST 81260 60564,21.8,0,4.0481686592,12.4253206718,0.125,8,50,Constrained,,,Unconstrained,,,Yes,No,None known,33/11,Green
ENGLAND,BRAMLEY GREEN,BRAMLEY (BASI),BASINGSTOKE T1B & T2B,6.05/25.0,51.321716,-1.033725,SU 67431 58511,15,0,1.0728726459,5.0448335692,15.76,16,50,Constrained,,,Partially Constrained,,,Yes,No,Voltage issues following Arborfield switchover to Reading BSP; and 33kV circuit from Basingstoke to Bramley Green is full for export capacity,33/11,Red
ENGLAND,BRANDON ROAD,LOVEDEAN,PORTSMOUTH,8.55/25.0,50.783957,-1.0834193,SZ 64712 98665,26,0,4.1609568596,18.0335619926,0,30,50,Unconstrained,,,Unconstrained,,,Yes,Yes,None known,33/11,Green
ENGLAND,BRAYWICK ROAD,FLEET BRAMLEY,MAIDENHEAD,9.96/13.1,51.518471,-0.72033112,SU 88887 80726,30,0,6.2270178795,21.6535247722,0.075,17,50,Constrained,,,Unconstrained,,,Yes,Yes,"Fleet GSP 132kV switchgear saturated for fault level capacity. 132kV reinforcement required at Fleet GSP
Constrained on the 132kV circuits for exportFleet GSP 132kV switchgear saturated for fault level capacity. 132kV reinforcement required at Fleet GSP
Constrained on the 132kV circuits for exportFleet GSP 132kV switchgear saturated for fault level capacity. 132kV reinforcement required at Fleet GSP
Constrained on the 132kV circuits for exportFleet GSP 132kV switchgear saturated for fault level capacity. 132kV reinforcement required at Fleet GSP
Constrained on the 132kV circuits for exportFleet GSP 132kV switchgear saturated for fault level capacity. 132kV reinforcement required at Fleet GSP
Constrained on the 132kV circuits for exportFleet GSP 132kV switchgear saturated for fault level capacity. 132kV reinforcement required at Fleet GSP
Constrained on the 132kV circuits for exportFleet GSP 132kV switchgear saturated for fault level capacity. 132kV reinforcement required at Fleet GSP
Constrained on the 132kV circuits for exportFleet GSP 132kV switchgear saturated for fault level capacity. 132kV reinforcement required at Fleet GSP
Constrained on the 132kV circuits for exportFleet GSP 132kV switchgear saturated for fault level capacity. 132kV reinforcement required at Fleet GSP
Constrained on the 132kV circuits for exportFleet GSP 132kV switchgear saturated for fault level capacity. 132kV reinforcement required at Fleet GSP
Constrained on the 132kV circuits for exportFleet GSP 132kV switchgear saturated for fault level capacity. 132kV reinforcement required at Fleet GSP
Constrained on the 132kV circuits for exportFleet GSP 132kV switchgear saturated for fault level capacity. 132kV reinforcement required at Fleet GSP
Constrained on the 132kV circuits for exportFleet GSP 132kV switchgear saturated for fault level capacity. 132kV reinforcement required at Fleet GSP
Constrained on the 132kV circuits for exportFleet GSP 132kV switchgear saturated for fault level capacity. 132kV reinforcement required at Fleet GSP
Constrained on the 132kV circuits for exportFleet GSP 132kV switchgear saturated for fault level capacity. 132kV reinforcement required at Fleet GSP
Constrained on the 132kV circuits for exportFleet GSP 132kV switchgear saturated for fault level capacity. 132kV reinforcement required at Fleet GSP
Constrained on the 132kV circuits for exportFleet GSP 132kV switchgear saturated for fault level capacity. 132kV reinforcement required at Fleet GSP
Constrained on the 132kV circuits for exportFleet GSP 132kV switchgear saturated for fault level capacity. 132kV reinforcement required at Fleet GSP
Constrained on the 132kV circuits for exportFleet GSP 132kV switchgear saturated for fault level capacity. 132kV reinforcement required at Fleet GSP
Constrained on the 132kV circuits for exportFleet GSP 132kV switchgear saturated for fault level capacity. 132kV reinforcement required at Fleet GSP
Constrained on the 132kV circuits for exportFleet GSP 132kV switchgear saturated for fault level capacity. 132kV reinforcement required at Fleet GSP
Constrained on the 132kV circuits for exportFleet GSP 132kV switchgear saturated for fault level capacity. 132kV reinforcement required at Fleet GSP
Constrained on the 132kV circuits for exportFleet GSP 132kV switchgear saturated for fault level capacity. 132kV reinforcement required at Fleet GSP
Constrained on the 132kV circuits for exportFleet GSP 132kV switchgear saturated for fault level capacity. 132kV reinforcement required at Fleet GSP
Constrained on the 132kV circuits for export",33/11,Red
ENGLAND,BRENTFORD,EALING,EALING (D),11.2/25.0,51.491207,-0.30664901,TQ 17659 78277,4 x 10/13, -   ,13.5,38.9, -   ,28,50,Constrained,,,Unconstrained,EALING 66kV/22kV CB to be replaced to improve fault ratings,TBC,No,No,,44887,Red
ENGLAND,BROCKHAMPTON,LOVEDEAN,HAVANT,12.26/25,50.847642,-0.99472808,SU 70868 05828,30,0,3.7850501537,16.4424342595,16.62,18,50,Unconstrained,,,Unconstrained,Switchgear -E reinforcement due to make issue (FL results include new rating).,01/03/22,Yes,Yes,,33/11,Green
